file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last
JD88163,JD,Library,IMPLICIT_COLUMNS,1,2010-12-03 09:19:54,2011-03-21 12:52:08,0,0
JD105477,JD,Utility,IMPLICIT_COLUMNS,0,2017-03-19 23:31:17,2019-10-09 19:17:00,1,1
JD172961,JD,Library,IMPLICIT_COLUMNS,0,2001-03-15 19:00:22,2019-10-06 12:36:41,1,1
JD172705,JD,Library,IMPLICIT_COLUMNS,0,1999-06-02 03:01:40,2014-03-09 02:50:37,1,1
JD173482,JD,Library,IMPLICIT_COLUMNS,0,2004-01-25 19:44:20,2014-03-09 02:50:37,1,1
JD173483,JD,Library,IMPLICIT_COLUMNS,0,2004-01-25 19:44:20,2014-03-09 02:50:37,1,1
JD173485,JD,Library,IMPLICIT_COLUMNS,0,2004-01-25 19:44:20,2014-03-09 02:50:37,1,1
JD173879,JD,Library,IMPLICIT_COLUMNS,0,2005-04-13 19:27:17,2019-10-06 12:36:41,1,1
JD173878,JD,Library,IMPLICIT_COLUMNS,0,2005-04-13 19:27:17,2019-10-06 12:36:41,1,1
JD4560,JD,Library,IMPLICIT_COLUMNS,0,2013-06-11 10:24:14,2016-08-20 03:45:51,1,1
JD174016,JD,Library,IMPLICIT_COLUMNS,0,2008-02-08 17:46:19,2014-03-09 02:50:37,1,1
JD32916,JD,Library,IMPLICIT_COLUMNS,0,2014-05-13 22:03:38,2015-03-01 20:09:24,1,1
JD33126,JD,Library,IMPLICIT_COLUMNS,0,2014-10-01 20:48:56,2015-03-01 20:09:24,1,1
JD39936,JD,Library,IMPLICIT_COLUMNS,0,2014-12-22 19:37:03,2015-03-01 20:09:24,1,1
JD39937,JD,Library,IMPLICIT_COLUMNS,0,2014-12-22 19:37:03,2015-03-01 20:09:24,1,1
JD106256,JD,Library,IMPLICIT_COLUMNS,1,2016-06-28 23:41:56,2016-08-29 18:27:14,0,0
JD106129,JD,Library,IMPLICIT_COLUMNS,1,2016-06-28 23:41:56,2016-08-29 18:27:14,0,0
JD101633,JD,Library,IMPLICIT_COLUMNS,0,2013-04-20 01:04:17,2016-12-27 21:20:24,1,1
JD27014,JD,Multimedia,IMPLICIT_COLUMNS,0,2018-10-07 12:04:49,2018-11-05 20:56:10,1,1
JD27011,JD,Multimedia,IMPLICIT_COLUMNS,0,2018-10-07 12:04:49,2018-11-05 20:56:10,1,1
JD27009,JD,Multimedia,IMPLICIT_COLUMNS,0,2018-10-07 12:04:49,2018-11-05 20:56:10,1,1
JD27006,JD,Multimedia,IMPLICIT_COLUMNS,0,2018-10-07 12:04:49,2018-11-05 20:56:10,1,1
JD27004,JD,Multimedia,IMPLICIT_COLUMNS,0,2018-10-07 12:04:49,2018-11-05 20:56:10,1,1
JD55,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,0,1
JD154,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1
JD151,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1
JD147,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1
JD143,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1
JD139,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1
JD127,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1
JD118,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1
JD116,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1
JD110,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1
JD213,JD,Business,IMPLICIT_COLUMNS,0,2017-10-16 11:24:55,2017-12-30 14:45:39,0,1
JD127785,JD,Library,IMPLICIT_COLUMNS,0,2011-01-03 14:31:36,2019-09-27 08:15:12,1,1
JD209,JD,Business,IMPLICIT_COLUMNS,0,2017-09-11 23:07:27,2017-12-30 14:45:39,1,1
JD302,JD,Business,IMPLICIT_COLUMNS,0,2017-10-16 11:24:55,2017-12-30 14:45:39,1,1
JD298,JD,Business,IMPLICIT_COLUMNS,0,2017-10-16 11:24:55,2017-12-30 14:45:39,1,1
JD288,JD,Business,IMPLICIT_COLUMNS,0,2017-10-16 11:24:55,2017-12-30 14:45:39,1,1
JD23038,JD,Multimedia,IMPLICIT_COLUMNS,1,2019-01-25 22:56:18,2019-10-09 22:54:26,1,0
JD99218,JD,Library,IMPLICIT_COLUMNS,0,2018-12-23 21:40:04,2019-10-09 07:26:19,1,1
JD5075,JD,Library,IMPLICIT_COLUMNS,0,2011-12-19 11:50:36,2013-01-20 12:23:35,1,1
JD5072,JD,Library,IMPLICIT_COLUMNS,0,2011-12-19 11:50:36,2017-12-01 08:47:15,1,1
JD80376,JD,Library,IMPLICIT_COLUMNS,0,2016-09-27 10:11:58,2019-10-02 19:51:41,1,1
JD26812,JD,Multimedia,IMPLICIT_COLUMNS,0,2009-05-21 22:38:29,2010-05-20 04:26:52,1,1
JD166721,JD,Library,IMPLICIT_COLUMNS,0,2012-05-06 21:20:51,2019-10-03 15:14:09,0,1
JD2008,JD,Library,IMPLICIT_COLUMNS,0,2016-06-15 09:29:39,2019-10-10 12:09:04,1,1
JD176035,JD,Library,IMPLICIT_COLUMNS,1,2005-11-28 12:35:15,2018-07-02 16:09:49,1,0
JD176134,JD,Library,IMPLICIT_COLUMNS,0,2005-11-28 12:35:15,2006-12-09 21:42:01,1,1
