file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last,T,days,DBsmell
JD28679,JD,Library,IMPLICIT_COLUMNS,0,2013-09-11 20:12:17,2015-03-01 20:09:24,1,1,535 days 23:57:07.000000000,535,True
JD28678,JD,Library,IMPLICIT_COLUMNS,0,2013-09-11 20:12:17,2015-03-01 20:09:24,1,1,535 days 23:57:07.000000000,535,True
JD28542,JD,Library,IMPLICIT_COLUMNS,0,2013-09-11 20:12:17,2015-03-01 20:09:24,1,1,535 days 23:57:07.000000000,535,True
JD175162,JD,Business,IMPLICIT_COLUMNS,0,2018-08-11 00:45:25,2019-10-08 14:14:50,1,1,423 days 13:29:25.000000000,423,True
JD90251,JD,Library,IMPLICIT_COLUMNS,0,2018-04-05 15:54:47,2019-10-01 16:46:04,1,1,544 days 00:51:17.000000000,544,True
JD90264,JD,Library,IMPLICIT_COLUMNS,0,2018-04-05 15:54:47,2019-10-01 16:46:04,1,1,544 days 00:51:17.000000000,544,True
JD93456,JD,Library,IMPLICIT_COLUMNS,0,2018-08-18 14:01:13,2019-10-01 16:46:04,1,1,409 days 02:44:51.000000000,409,True
JD8163,JD,Business,IMPLICIT_COLUMNS,0,2016-10-17 01:03:03,2017-09-28 13:47:37,1,1,346 days 12:44:34.000000000,346,True
JD8411,JD,Business,IMPLICIT_COLUMNS,0,2017-01-23 11:56:08,2017-09-28 13:47:37,1,1,248 days 01:51:29.000000000,248,True
JD180383,JD,Multimedia,IMPLICIT_COLUMNS,0,2017-05-18 21:38:27,2019-02-11 17:11:07,1,1,633 days 19:32:40.000000000,633,True
JD167775,JD,Utility,IMPLICIT_COLUMNS,0,2011-08-22 00:03:17,2019-08-26 13:40:10,1,1,2926 days 13:36:53.000000000,2926,True
JD167700,JD,Utility,IMPLICIT_COLUMNS,1,2007-11-19 17:38:08,2011-08-22 00:03:17,1,0,1371 days 06:25:09.000000000,1371,True
JD167621,JD,Utility,IMPLICIT_COLUMNS,1,2005-08-21 19:35:11,2007-11-19 17:38:08,1,0,819 days 22:02:57.000000000,819,True
JD51834,JD,Library,IMPLICIT_COLUMNS,1,2015-05-13 14:45:19,2019-08-22 09:03:36,1,0,1561 days 18:18:17.000000000,1561,True
JD51829,JD,Library,IMPLICIT_COLUMNS,0,2015-05-13 14:45:19,2019-08-22 09:03:36,1,1,1561 days 18:18:17.000000000,1561,True
JD63350,JD,Library,IMPLICIT_COLUMNS,1,2005-04-18 04:35:42,2006-02-15 02:05:42,1,0,302 days 21:30:00.000000000,302,True
JD124453,JD,Library,IMPLICIT_COLUMNS,0,2017-02-06 14:55:10,2019-09-24 04:03:04,1,1,959 days 13:07:54.000000000,959,True
JD124449,JD,Library,IMPLICIT_COLUMNS,0,2017-11-03 04:09:18,2019-09-24 04:03:04,1,1,689 days 23:53:46.000000000,689,True
JD375,JD,Library,IMPLICIT_COLUMNS,0,2017-12-28 19:07:08,2019-08-16 08:45:03,1,1,595 days 13:37:55.000000000,595,True
JD351,JD,Library,IMPLICIT_COLUMNS,0,2017-12-28 19:07:08,2019-08-16 08:45:03,1,1,595 days 13:37:55.000000000,595,True
JD371,JD,Library,IMPLICIT_COLUMNS,0,2017-12-28 19:07:08,2019-08-16 08:45:03,1,1,595 days 13:37:55.000000000,595,True
JD130395,JD,Library,IMPLICIT_COLUMNS,0,2015-11-19 20:23:45,2019-10-10 13:21:57,1,1,1420 days 16:58:12.000000000,1420,True
JD130396,JD,Library,IMPLICIT_COLUMNS,0,2015-11-19 20:23:45,2019-10-10 13:21:57,1,1,1420 days 16:58:12.000000000,1420,True
JD110596,JD,Library,IMPLICIT_COLUMNS,1,2016-04-28 20:10:40,2016-06-28 23:41:56,1,0,61 days 03:31:16.000000000,61,True
JD102103,JD,Library,IMPLICIT_COLUMNS,0,2016-06-28 23:41:56,2019-10-10 15:23:51,0,1,1198 days 15:41:55.000000000,1198,True
JD106130,JD,Library,IMPLICIT_COLUMNS,0,2016-08-29 18:27:14,2019-10-10 15:23:51,1,1,1136 days 20:56:37.000000000,1136,True
JD87975,JD,Library,IMPLICIT_COLUMNS,0,2010-06-04 11:34:07,2011-05-16 08:18:58,1,1,345 days 20:44:51.000000000,345,True
JD88163,JD,Library,IMPLICIT_COLUMNS,1,2010-12-03 09:19:54,2011-03-21 12:52:08,0,0,108 days 03:32:14.000000000,108,True
